id,genres
ts364251,family
ts308044,animation
ts308044,comedy
ts308044,family
tm1183293,animation
tm1183293,comedy
tm1183293,family
ts342889,family
ts342889,fantasy
ts342889,animation
ts342889,comedy
ts350479,animation
ts350479,comedy
ts350479,family
ts113822,animation
ts113822,family
ts320389,comedy
ts320389,family
ts320389,animation
ts364250,fantasy
ts364250,animation
ts364250,comedy
ts364250,family
tm1129563,music
tm1129563,family
ts314105,comedy
ts314105,drama
ts288980,drama
ts288980,scifi
ts288980,comedy
tm1003483,crime
tm1003483,drama
tm1003483,thriller
ts328281,drama
ts316895,documentation
ts316895,reality
ts296808,crime
ts296808,thriller
ts374301,documentation
ts374301,sport
ts377681,family
ts377681,animation
ts377681,fantasy
ts377681,comedy
