Index,orig_lang
630,Spanish
630,Castilian
631,Spanish
631,Castilian
632,Korean
633,English
634,English
635,English
636,English
637,English
638,English
639,English
640,English
641,English
642,English
643,English
644,English
645,English
646,English
647,English
648,English
649,English
650,Spanish
650,Castilian
651,English
652,English
653,English
654,English
655,English
656,English
657,English
658,Japanese
659,English
660,English
661,English
662,English
663,Spanish
663,Castilian
664,English
665,English
666,English
667,English
668,English
669,English
670,Korean
671,English
672,English
673,English
674,English
675,English
676,English
677,English
678,English
679,English
680,English
681,English
682,English
683,English
684,English
685,English
686,Italian
687,English
688,English
689,English
690,Japanese
691,English
692,English
693,English
694,Cantonese
695,English
696,English
697,English
698,English
699,English
700,English
701,Spanish
701,Castilian
702,English
703,English
704,English
705,English
706,English
707,English
708,English
709,English
710,English
711,English
712,English
713,English
714,English
715,Japanese
716,English
717,English
718,English
719,English
720,English
721,English
722,English
723,English
724,Chinese
725,English
726,English
727,English
728,English
729,English
730,English
731,Chinese
732,English
733,Italian
734,English
735,English
736,English
737,French
738,English
739,English
740,Japanese
741,English
742,Japanese
743,English
744,English
745,English
746,Japanese
747,Japanese
748,English
749,English
750,English
751,Japanese
752,English
753,English
754,English
755,Korean
756,English
757,English
758,Japanese
759,English
760,English
761,English
762,Japanese
763,Japanese
764,French
765,English
766,Spanish
766,Castilian
767,English
768,English
769,English
770,English
771,English
772,English
773,English
774,English
775,English
776,Russian
777,English
778,English
779,Spanish
779,Castilian
780,Spanish
780,Castilian
781,English
782,English
783,English
784,English
785,English
786,English
787,Spanish
787,Castilian
788,English
789,English
790,Korean
791,English
792,English
793,English
794,English
795,English
796,English
797,English
798,Spanish
798,Castilian
799,Japanese
800,Thai
801,French
802,English
803,Japanese
804,English
805,English
806,English
807,English
808,English
809,Indonesian
810,English
811,German
812,English
813,English
814,English
815,English
816,English
817,English
818,English
819,English
820,English
821,French
822,English
823,English
824,English
825,English
826,Korean
827,English
828,English
829,English
830,English
831,Japanese
832,English
833,English
834,English
835,Spanish
835,Castilian
836,English
837,English
838,English
839,English
840,English
841,French
842,Japanese
843,English
844,English
845,Japanese
846,Russian
847,Spanish
847,Castilian
848,English
849,English
850,English
851,Japanese
852,English
853,English
854,English
855,English
856,English
857,English
858,English
859,English
860,English
861,English
862,English
863,Japanese
864,Swedish
865,English
866,French
867,English
868,English
869,English
870,Japanese
871,English
872,Japanese
873,English
874,English
875,Korean
876,English
877,English
878,Cantonese
879,English
880,English
881,English
882,English
883,English
884,Japanese
885,English
886,English
887,English
888,Korean
889,English
890,English
891,English
892,English
893,English
894,English
895,English
896,Japanese
897,English
898,English
899,English
900,English
